State,Year,Quater,District,Users
Arunachal Pradesh,2019,2,longding district,1420
Arunachal Pradesh,2019,2,west siang district,3393
Arunachal Pradesh,2019,2,kamle district,212
Arunachal Pradesh,2019,2,upper siang district,1372
Arunachal Pradesh,2019,2,kurung kumey district,481
Arunachal Pradesh,2019,2,siang district,831
Arunachal Pradesh,2019,2,kra daadi district,440
Arunachal Pradesh,2019,2,changlang district,6884
Arunachal Pradesh,2019,2,pakke kessang district,211
Arunachal Pradesh,2019,2,east siang district,7319
Arunachal Pradesh,2019,2,upper subansiri district,2355
Arunachal Pradesh,2019,2,tawang district,5908
Arunachal Pradesh,2019,2,namsai district,3914
Arunachal Pradesh,2019,3,lower subansiri district,2928
Arunachal Pradesh,2019,3,tirap district,3099
Arunachal Pradesh,2019,3,papum pare district,38845
Arunachal Pradesh,2019,3,anjaw district,1358
Arunachal Pradesh,2019,3,lower siang district,1689
Arunachal Pradesh,2019,3,dibang valley district,271
Arunachal Pradesh,2019,3,west kameng district,11186
Arunachal Pradesh,2019,3,shi yomi district,239
Arunachal Pradesh,2019,3,east kameng district,1304
Arunachal Pradesh,2019,3,lohit district,6421
Arunachal Pradesh,2019,3,lepa rada district,1064
Arunachal Pradesh,2019,3,lower dibang valley district,3398
Arunachal Pradesh,2019,3,longding district,1634
Arunachal Pradesh,2019,3,west siang district,4101
Arunachal Pradesh,2019,3,kamle district,258
Arunachal Pradesh,2019,3,upper siang district,1486
Arunachal Pradesh,2019,3,kurung kumey district,572
Arunachal Pradesh,2019,3,siang district,948
Arunachal Pradesh,2019,3,kra daadi district,524
Arunachal Pradesh,2019,3,changlang district,8145
Arunachal Pradesh,2019,3,pakke kessang district,244
Arunachal Pradesh,2019,3,east siang district,8571
Arunachal Pradesh,2019,3,upper subansiri district,2748
Arunachal Pradesh,2019,3,tawang district,6553
Arunachal Pradesh,2019,3,namsai district,4563
Arunachal Pradesh,2019,4,lower subansiri district,3564
Arunachal Pradesh,2019,4,tirap district,3605
Arunachal Pradesh,2019,4,papum pare district,44746
Arunachal Pradesh,2019,4,anjaw district,1564
Arunachal Pradesh,2019,4,lower siang district,1921
Arunachal Pradesh,2019,4,dibang valley district,289
Arunachal Pradesh,2019,4,west kameng district,12562
Arunachal Pradesh,2019,4,shi yomi district,266
Arunachal Pradesh,2019,4,east kameng district,1623
Arunachal Pradesh,2019,4,lohit district,7386
Arunachal Pradesh,2019,4,lepa rada district,1263
Arunachal Pradesh,2019,4,lower dibang valley district,3944
Arunachal Pradesh,2019,4,longding district,1847
Arunachal Pradesh,2019,4,west siang district,4773
Arunachal Pradesh,2019,4,kamle district,323
Arunachal Pradesh,2019,4,upper siang district,1804
Arunachal Pradesh,2019,4,kurung kumey district,653
Arunachal Pradesh,2019,4,siang district,1131
Arunachal Pradesh,2019,4,kra daadi district,603
Arunachal Pradesh,2019,4,changlang district,9662
Arunachal Pradesh,2019,4,pakke kessang district,296
Arunachal Pradesh,2019,4,east siang district,9859
Arunachal Pradesh,2019,4,upper subansiri district,3144
Arunachal Pradesh,2019,4,tawang district,7303
Arunachal Pradesh,2019,4,namsai district,5190
Arunachal Pradesh,2020,1,lower subansiri district,4351
Arunachal Pradesh,2020,1,tirap district,4261
Arunachal Pradesh,2020,1,papum pare district,51342
